factor,loading_baseline,loading_heatwave,loading_icestorm,source_slug
cisr_score,0.4781578598963227,0.4781578598963228,0.478157859896323,statcan-cisr-2021
cisv_score,0.4711371472703403,0.47113714727034023,0.4711371472703404,statcan-cisv-2021
cisv_dim4,0.40549072081127135,0.4054907208112713,0.4054907208112714,statcan-cisv-2021
median_income,0.308759486860025,0.30875948686002513,0.30875948686002513,statcan-census-2021-ct-demographics
cisv_dim2,0.29636168270357194,0.29636168270357194,0.29636168270357205,statcan-cisv-2021
pct_renters,0.28343945561928735,0.28343945561928735,0.28343945561928746,statcan-census-2021-ct-demographics
cisv_dim3,0.26555200662353967,0.26555200662353967,0.2655520066235398,statcan-cisv-2021
pct_pre1980,0.2048382063007761,0.20483820630077587,0.20483820630077598,statcan-census-2021-ct-demographics
cisv_dim1,0.08823720343709808,0.08823720343709807,0.0882372034370981,statcan-cisv-2021
humidex,0.03477310831469313,0.03477310831469313,0.034773108314693164,envcan-geomet-current
