CTUID,cisr_dim1,cisr_dim2,cisr_dim3,cisr_score,cisr_quintile,cisv_dim1,cisv_dim2,cisv_dim3,cisv_dim4,cisv_score,cisv_quintile
5350001.00,1.157,-0.0824,0.8402,0.6383,5.0,0.0959,-1.3302,-0.4404,-0.3506,-0.5063,1.0
5350002.00,1.2174,0.5028,-2.0294,-0.103,3.0,-0.0502,1.9027,-0.6451,-0.278,0.2324,4.0
5350003.00,1.0783,-0.6319,2.0011,0.8159,5.0,1.8564,-1.3288,-1.4039,1.8165,0.235,4.0
5350004.00,0.8474,-1.8879,-0.59,-0.5435,1.6,2.2606,0.2278,0.2502,1.4943,1.0582,4.9
5350005.00,0.7521,-1.4304,0.0408,-0.2125,2.7143,1.6379,0.2442,-0.1733,1.3379,0.7617,4.2857
5350006.00,,,,,,,,,,,
5350007.01,1.0642,-1.3411,-0.3324,-0.2031,2.2,1.6557,-0.0195,-0.3312,1.1732,0.6196,4.6
5350007.02,0.7423,-1.6748,-0.1368,-0.3564,2.0,1.9086,-0.1663,-0.1362,1.6742,0.8201,4.6
5350008.01,1.3453,-1.2219,2.3057,0.8097,5.0,1.4267,-1.679,-1.7186,2.0339,0.0157,3.3333
5350008.02,1.1114,-1.2918,1.163,0.3275,4.0,1.7658,-0.095,-1.2553,1.4015,0.4542,4.3333
5350009.00,0.2548,-2.0752,-0.1897,-0.67,1.0,2.4316,1.0922,0.1389,3.6684,1.8328,5.0
5350010.01,1.2912,-0.4191,1.6104,0.8275,5.0,0.8593,-1.0816,-1.3576,0.9133,-0.1666,2.5
5350010.02,1.1734,-0.5987,0.8185,0.4644,4.1111,1.1592,-0.6832,-0.9065,0.9847,0.1385,3.4444
5350011.01,1.3731,-1.4074,2.1007,0.6888,5.0,1.4915,-1.4592,-1.5525,1.9917,0.1179,3.6667
5350011.02,1.608,-1.6149,2.3285,0.7739,5.0,1.9904,-1.5945,-1.7552,2.1927,0.2084,3.6667
5350011.03,1.4542,-1.739,2.3004,0.6719,5.0,2.2112,-1.6387,-1.7267,2.4635,0.3273,4.5
5350012.01,1.2775,-1.2211,1.7697,0.6087,4.75,2.2966,-1.0604,-1.4774,1.9321,0.4227,4.75
5350012.03,1.4694,-1.2042,2.2058,0.8237,5.0,2.247,-1.7101,-1.6277,1.9378,0.2117,4.0
5350012.04,1.3904,-1.1584,1.4505,0.5608,4.6667,2.1182,-1.1266,-1.5972,2.2186,0.4032,4.3333
5350013.01,1.4366,-1.2742,1.6142,0.5922,4.6667,1.9728,-0.6878,-1.6344,1.8234,0.3685,4.3333
5350013.02,1.5827,-0.9911,1.432,0.6745,4.75,2.0412,-0.9142,-1.6793,1.7093,0.2892,4.0
5350014.00,1.6338,-1.8565,1.784,0.5204,4.0,2.1943,-1.2819,-1.2358,2.369,0.5114,5.0
5350015.00,1.5032,-0.8697,1.2569,0.6301,4.6667,1.5307,-0.6724,-1.398,1.5168,0.2443,4.1667
5350016.00,1.3009,-0.9356,1.5382,0.6345,4.75,1.4376,-1.0138,-1.2368,1.5989,0.1964,3.75
5350017.01,1.3395,-1.1631,1.7306,0.6357,5.0,1.4888,-1.0169,-1.4523,1.9904,0.2525,4.0
5350017.02,1.0454,-1.1368,-0.3399,-0.1438,2.7143,1.5572,0.7811,-0.9286,1.7085,0.7795,4.7143
5350018.00,1.4714,-0.4003,1.2108,0.7607,4.75,0.7763,-1.0676,-0.8649,-0.0251,-0.2953,2.25
5350019.00,0.8553,-0.4361,0.1079,0.1757,3.5,0.8348,0.0516,0.1221,-0.0743,0.2335,3.5
5350020.00,1.7699,0.81,0.848,1.1426,5.0,0.6285,0.1598,-1.2458,-0.9712,-0.3572,2.0
5350021.00,1.9792,-0.2515,-0.3602,0.4559,4.25,0.7558,0.1649,-0.8853,-0.4584,-0.1058,3.0
