CTUID,temperature_c,apparent_temp_c,precipitation_mm,wind_speed_kmh,wind_gusts_kmh,weather_code,heat_days_per_yr,hot_days_per_yr,frost_days_per_yr,freezing_days_per_yr,annual_precip_mm,heavy_rain_days_per_yr,max_24h_precip_mm,max_wind_gust_kmh,mean_summer_tmax,in_flood_zone
5370001.08,22.1,23.7,0.0,10.0,12.2,0,9.833333333333334,68.66666666666667,126.0,34.0,955.4333333333334,4.0,53.5,49.0,18.290965732087226,False
5370001.09,21.9,23.6,0.0,10.1,12.2,0,9.833333333333334,68.66666666666667,126.0,34.0,955.4333333333334,4.0,53.5,49.0,18.290965732087226,False
5370140.04,21.9,23.9,0.0,9.8,12.2,0,12.333333333333334,71.66666666666667,120.83333333333333,33.5,914.2666666666668,3.8333333333333335,60.3,47.5,18.455373831775702,False
5350420.13,21.6,24.4,0.0,6.4,8.6,0,11.666666666666666,67.16666666666667,135.16666666666666,42.0,992.75,3.5,51.2,44.5,17.938940809968845,False
5350422.03,21.3,23.5,0.0,6.6,14.0,0,7.5,59.0,135.66666666666666,46.666666666666664,976.1833333333334,3.5,51.7,43.7,17.524376947040498,False
5350422.04,21.3,23.6,0.0,6.6,14.0,0,7.5,59.0,135.66666666666666,46.666666666666664,976.1833333333334,3.5,51.7,43.7,17.524376947040498,False
5350422.05,21.4,23.9,0.0,6.4,13.7,0,7.5,59.0,135.66666666666666,46.666666666666664,976.1833333333334,3.5,51.7,43.7,17.524376947040498,False
5350422.06,21.6,23.8,0.0,6.6,14.0,0,11.666666666666666,67.16666666666667,135.16666666666666,42.0,992.75,3.5,51.2,44.5,17.938940809968845,False
5350424.07,21.0,23.0,0.0,7.2,15.1,0,8.166666666666666,60.833333333333336,135.66666666666666,46.5,940.2666666666668,3.3333333333333335,50.8,47.4,17.47157320872274,False
5350424.08,21.1,23.1,0.0,7.2,15.1,0,8.166666666666666,60.833333333333336,135.66666666666666,46.5,940.2666666666668,3.3333333333333335,50.8,47.4,17.47157320872274,False
5350573.06,22.1,24.2,0.0,11.2,14.8,0,12.666666666666666,69.83333333333333,131.83333333333334,39.333333333333336,905.9166666666666,2.5,54.8,44.4,18.168380062305292,False
5350573.07,21.8,23.7,0.0,12.0,15.5,0,12.666666666666666,69.83333333333333,131.83333333333334,39.333333333333336,905.9166666666666,2.5,54.8,44.4,18.168380062305292,False
5350576.16,22.3,23.7,0.0,10.7,15.1,0,12.333333333333334,67.83333333333333,135.0,41.166666666666664,894.0833333333334,2.5,52.5,46.4,18.00817757009346,False
5350576.17,22.3,23.7,0.0,10.7,15.1,0,12.333333333333334,67.83333333333333,135.0,41.166666666666664,894.0833333333334,2.5,52.5,46.4,18.00817757009346,False
5350516.3,20.2,22.5,0.0,11.2,15.1,0,,,,,,,,,,False
5350516.31,20.2,22.5,0.0,11.2,15.1,0,16.666666666666668,75.16666666666667,128.16666666666666,34.166666666666664,908.4833333333332,3.1666666666666665,59.7,43.0,18.587850467289723,False
5350516.32,20.8,22.9,0.0,13.7,16.6,0,13.166666666666666,71.66666666666667,131.16666666666666,38.333333333333336,922.4166666666666,2.6666666666666665,59.8,43.7,18.209890965732086,False
5350520.07,18.9,20.9,0.0,10.3,14.0,0,,,,,,,,,,False
5350520.08,18.9,20.9,0.0,10.3,14.0,0,,,,,,,,,,False
5350528.32,20.2,22.3,0.0,12.9,15.8,0,,,,,,,,,,False
5350528.33,20.3,22.5,0.0,12.9,15.8,0,,,,,,,,,,False
5350528.34,19.7,21.7,0.0,12.2,14.8,0,,,,,,,,,,False
5350528.35,19.3,21.2,0.0,11.6,14.0,0,,,,,,,,,,False
5350530.01,20.8,22.7,0.0,13.7,16.2,0,,,,,,,,,,False
5350530.02,20.8,22.7,0.0,13.7,16.2,0,,,,,,,,,,False
5350424.09,20.8,23.0,0.0,6.9,15.5,0,,,,,,,,,,False
5350424.1,21.1,23.5,0.0,5.9,15.1,0,,,,,,,,,,False
5350424.11,20.9,23.1,0.0,6.1,15.1,0,,,,,,,,,,False
5350411.07,21.3,23.7,0.0,7.1,14.0,0,,,,,,,,,,False
5350412.12,21.6,23.6,0.0,11.1,14.8,0,,,,,,,,,,False
5350412.13,21.7,24.1,0.0,9.0,14.0,0,,,,,,,,,,False
5350411.08,21.6,23.8,0.0,9.7,14.4,0,,,,,,,,,,False
5350411.09,21.3,23.9,0.0,8.1,14.0,0,,,,,,,,,,False
5350412.14,21.9,24.3,0.0,9.1,13.7,0,,,,,,,,,,False
5350412.15,21.9,24.3,0.0,9.1,13.7,0,,,,,,,,,,False
5350411.12,21.3,23.6,0.0,7.8,14.0,0,,,,,,,,,,False
5350400.13,21.3,24.7,0.0,4.5,7.6,0,,,,,,,,,,False
5350400.14,21.4,24.7,0.0,4.5,7.6,0,,,,,,,,,,False
5350401.17,21.3,24.4,0.0,6.1,7.9,0,,,,,,,,,,False
5350573.09,21.8,23.6,0.0,12.0,15.5,0,,,,,,,,,,False
5350528.39,21.3,23.3,0.0,13.7,16.2,0,,,,,,,,,,False
5350528.4,21.1,23.5,0.0,12.7,15.8,0,,,,,,,,,,False
5350528.42,20.2,22.4,0.0,12.9,15.8,0,,,,,,,,,,False
5350528.43,19.5,21.6,0.0,11.8,14.0,0,,,,,,,,,,False
5350412.18,21.7,24.1,0.0,9.0,14.0,0,,,,,,,,,,False
5350576.2,22.4,24.4,0.0,10.5,15.1,0,,,,,,,,,,False
5350576.22,22.6,24.6,0.0,10.5,15.1,0,,,,,,,,,,False
5350400.15,21.5,24.7,0.0,5.2,7.2,1,6.5,59.333333333333336,136.33333333333334,43.833333333333336,993.5666666666666,3.3333333333333335,51.1,43.3,17.579906542056072,False
5350400.16,21.4,24.7,0.0,5.2,7.2,1,7.0,61.666666666666664,129.83333333333334,38.0,990.9166666666666,3.6666666666666665,52.8,45.8,17.822819314641745,False
5350403.04,21.8,24.6,0.0,6.2,8.3,1,7.5,59.0,135.66666666666666,46.666666666666664,976.1833333333334,3.5,51.7,43.7,17.524376947040498,False
5350403.05,21.4,24.2,0.0,6.0,8.3,0,7.5,59.0,135.66666666666666,46.666666666666664,976.1833333333334,3.5,51.7,43.7,17.524376947040498,False
5350403.07,21.4,24.1,0.0,6.0,8.3,0,7.5,59.0,135.66666666666666,46.666666666666664,976.1833333333334,3.5,51.7,43.7,17.524376947040498,False
5350412.25,21.6,24.2,0.0,7.8,13.7,0,10.833333333333334,65.5,135.66666666666666,42.833333333333336,947.1166666666668,3.0,50.7,44.2,17.896183800623053,False
5350412.26,21.6,24.1,0.0,7.8,13.7,0,10.833333333333334,65.5,135.66666666666666,42.833333333333336,947.1166666666668,3.0,50.7,44.2,17.896183800623053,False
5350413.01,21.7,23.8,0.0,7.9,13.7,0,9.333333333333334,62.833333333333336,138.16666666666666,44.833333333333336,917.1,3.0,49.9,43.5,17.586526479750777,False
5350413.02,21.4,23.7,0.0,7.8,14.0,0,,,,,,,,,,False
5350481.02,21.4,24.1,0.0,4.3,13.0,0,,,,,,,,,,False
5350411.28,21.4,23.8,0.0,7.0,14.0,0,,,,,,,,,,False
5350440.0,21.2,23.5,0.0,5.3,14.4,0,,,,,,,,,,False
5350576.29,22.1,23.7,0.0,11.2,14.0,0,,,,,,,,,,False
5350503.0,18.4,20.5,0.0,9.1,15.8,0,,,,,,,,,,False
5350504.0,18.5,20.7,0.0,9.1,15.8,0,,,,,,,,,,False
5350506.0,18.0,20.0,0.0,9.7,14.0,0,,,,,,,,,,False
5350507.0,18.1,20.1,0.0,9.7,14.0,0,,,,,,,,,,False
5350508.0,18.1,20.1,0.0,9.7,14.0,0,,,,,,,,,,False
5350510.0,18.4,20.2,0.0,10.6,13.7,0,,,,,,,,,,False
5350512.0,18.4,20.3,0.0,10.6,13.7,0,,,,,,,,,,False
5350411.29,21.8,24.6,0.0,6.6,13.7,0,,,,,,,,,,False
5350484.02,21.3,24.1,0.0,4.1,13.3,0,,,,,,,,,,False
5350517.0,19.6,21.8,0.0,10.4,14.8,0,,,,,,,,,,False
5350518.0,18.6,20.7,0.0,9.9,14.8,0,,,,,,,,,,False
5350519.0,19.6,21.7,0.0,11.2,14.4,0,,,,,,,,,,False
5350522.0,19.0,21.0,0.0,10.9,13.7,0,,,,,,,,,,False
5350523.0,19.4,21.5,0.0,11.6,14.0,0,,,,,,,,,,False
5350560.0,22.4,24.5,0.0,11.8,14.8,0,,,,,,,,,,False
5350561.0,21.9,23.7,0.0,13.0,15.5,0,,,,,,,,,,False
5350574.0,21.7,23.5,0.0,12.5,15.1,0,,,,,,,,,,False
5350411.3,21.3,23.9,0.0,8.1,14.0,0,,,,,,,,,,False
5350403.15,21.3,23.5,0.0,6.5,14.0,0,,,,,,,,,,False
5350403.16,21.2,23.7,0.0,5.5,8.6,0,,,,,,,,,,False
5350516.37,20.1,22.3,0.0,11.2,15.1,0,,,,,,,,,,False
5350516.38,19.9,22.1,0.0,11.1,16.2,0,,,,,,,,,,False
5350516.39,21.0,23.2,0.0,13.1,16.2,0,,,,,,,,,,False
5370006.0,22.3,24.1,0.0,9.8,12.2,0,,,,,,,,,,False
5370007.0,22.3,24.1,0.0,9.8,12.2,0,,,,,,,,,,False
